ssyk96,ssyk96_occ_title,tot_earnings_1962,tot_earnings_1963,tot_earnings_1964,tot_earnings_1965,tot_earnings_1966,tot_earnings_1967,tot_earnings_1968,tot_earnings_1969,tot_earnings_1970,tot_earnings_1971,tot_earnings_1972,tot_earnings_1973,tot_earnings_1974,tot_earnings_1975,obs_1962,obs_1963,obs_1964,obs_1965,obs_1966,obs_1967,obs_1968,obs_1969,obs_1970,obs_1971,obs_1972,obs_1973,obs_1974,obs_1975,log_ratio,sum_reasoning_ability,sum_knowledge,share_emp_1962,share_emp_1975,share_earn_1962,share_earn_1975,d_share_emp,d_share_earn,d_share_emp_t,d_share_earn_t,sector,x_plot,y_plot
3112,Civil engineering technicians,1208911,1479721,1354075,1482666,1601378,1973512,1975893,1877259,2259533,2655651,3211606,3493936,3022508,2705232,367,438,412,445,473,549,500,476,555,626,723,766,679,623,0.273433786849752,0.671253196195532,0.510807915920988,0.00825702522104979,0.0109990995921682,0.00898521921475919,0.0134227419344451,0.00274207437111843,0.00443752271968591,0.764850239241724,0.99874965077077,"",,
3113,Electrical engineering technicians,648510,563751,640491,796379,882608,1017307,963765,916354,1072843,1224673,1157535,899064,1125540,1188885,190,162,184,225,246,257,243,231,269,282,264,200,259,268,0.474834805617212,0.692821646377637,0.431134008987145,0.00427475420163341,0.0047315548807401,0.00482004424888473,0.00589897522457695,0.000456800679106694,0.00107893097569223,0.158538487079387,0.361070788150864,"",,
3114,Electronics and telecommunications engineering technicians,1469115,1660167,2089014,2390134,2426417,2442428,2584643,2407398,2359498,2467116,2392378,2437808,2524016,2161464,361,438,552,610,609,596,598,550,529,551,515,508,537,482,0.27200027783056,0.654909215918305,0.500159766091658,0.00812203298310347,0.00850973676312212,0.0109191829065092,0.0107246895913524,0.000387703780018648,-0.000194493315156799,0.134872524381175,-0.067967804677283,Computer and electronics,0.356,0.82
3115,Mechanical engineering technicians,1474647,1758345,1817540,2257579,2369554,2625763,2588796,2832848,2948799,3425274,3364480,3658251,3386676,3340939,441,514,555,671,696,707,684,756,751,821,772,852,785,764,0.404632043651629,0.703826857323658,0.470289854669046,0.00992192948905438,0.0134884624212143,0.0109602994425454,0.0165769745499547,0.00356653293215994,0.00561667510740931,0.895386152619172,1.10022141972075,Technicians,0.51,0.55
3116,Chemical engineering technicians,95505,109416,160245,217702,132196,248797,156601,232581,171948,159395,180816,212728,168498,199805,25,30,45,59,37,62,37,58,41,38,42,47,43,41,0.423474990292433,0.716942652673905,0.469532627595691,0.000562467658109659,0.000723857276531135,0.000709839980863419,0.000991386673014294,0.000161389618421476,0.000281546692150875,0.0564264040022481,0.0982242292984154,"",,
3117,Mining and metallurgical technicians,54822,49892,47797,44778,58279,63641,112210,111641,95082,154499,139033,97121,127138,115626,16,15,14,13,17,16,25,26,23,33,30,22,28,23,0.384026841973812,0.689889083889084,0.469942785263359,0.000359979301190182,0.000406066277078441,0.000407463980219825,0.000573709744270417,4.60869758882598e-05,0.000166245764050593,0.0161290427799019,0.0581204853809274,"",,
3118,Draughtspersons,33509,46116,36684,49476,64565,59098,100945,96583,113529,92728,97172,124426,73115,125340,13,18,15,20,24,22,36,32,35,28,32,36,23,34,0.286570820034572,0.641254072517078,0.48215450246023,0.000292483182217023,0.000600271887855087,0.00024905531562486,0.000621908388656998,0.000307788705638065,0.000372853073032138,0.107312207999884,0.129765262426837,"",,
3119,Physical and engineering science technicians not elsewhere classified,2380403,2455311,2669358,3205744,3649746,3807076,3243114,2835706,2826057,3184580,2750740,2753237,2767498,2796114,698,721,782,924,1064,1027,834,723,711,767,631,637,635,654,0.369792268741419,0.698436336467941,0.482570500163333,0.0157040970144217,0.0115464063134479,0.017692322077035,0.0138736776148179,-0.00415769070097382,-0.00381864446221708,-0.968716348292921,-0.92844266154369,Technicians,0.51,0.55
3121,Computer assistants,2136875,2187255,2645295,3168970,3154916,3497461,3557004,3839534,4097006,4735206,5050753,4761720,4922444,4570220,641,676,792,921,941,992,985,1021,1104,1209,1247,1177,1235,1176,0.474386951606099,0.672500909712822,0.418650569144696,0.0144216707539316,0.020762345297576,0.0158823025926131,0.0226763854795595,0.00634067454364431,0.00679408288694635,1.14743897600522,1.172714494047,Computer and electronics,0.356,0.82
3122,Computer equipment operators,235373,284612,186435,222294,282780,267008,235249,231632,155319,196972,226429,183582,208516,189790,65,78,53,69,80,67,63,60,42,49,56,46,47,51,0.461316316473672,0.663264710419945,0.418160471698378,0.00146241591108511,0.000900407831782631,0.0017494075264726,0.000941694535529055,-0.000562008079302482,-0.000807712990943543,-0.194223201055615,-0.275510233464809,"",,
3131,Photographers,86709,90052,94853,112154,92678,123757,157431,96377,150227,235304,181570,252758,234505,239750,37,37,41,60,53,69,75,53,74,97,125,120,125,125,0.213126108943466,0.572688519682682,0.46351764161598,0.000832452134002295,0.0022068819406437,0.000644463796667045,0.00118958461927968,0.00137442980664141,0.000545120822612637,0.44837335762437,0.18852651814324,"",,
3132,Image and sound recording equipment operators,95507,170027,187995,168087,226649,140770,207658,154792,221513,225060,228033,262669,223755,183516,43,69,73,75,87,64,84,61,86,82,85,97,80,70,0.201305272901256,0.580115307502215,0.475437251236664,0.000967444371948613,0.00123585388676047,0.000709854845843909,0.000910564383698562,0.000268409514811861,0.000200709537854652,0.0936684235103061,0.0701331246798866,"",,
